,Country,City,Latitude,temp_min,temp_max,humid,wind_speed,cloud,found_city,url
1467286,ir,qalatak,32.497223999999996,44.08,44.08,90,1.52,0,qalatak,"http://api.openweathermap.org/data/2.5/weather?q=qalatak,ir&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1506940,it,casalbagliano,44.9,35.6,51.8,34,8.05,0,casalbagliano,"http://api.openweathermap.org/data/2.5/weather?q=casalbagliano,it&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1510479,it,favaro veneto,45.498889,37.4,39.2,74,4.7,0,favaro veneto,"http://api.openweathermap.org/data/2.5/weather?q=favaro veneto,it&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1516830,it,pietrapiana,39.433333000000005,42.8,42.8,81,1.12,0,pietrapiana,"http://api.openweathermap.org/data/2.5/weather?q=pietrapiana,it&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1519154,it,san cassiano,46.266667,48.2,48.2,61,14.99,0,san cassiano,"http://api.openweathermap.org/data/2.5/weather?q=san cassiano,it&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1521991,it,tavolero,42.666667,51.8,53.6,100,3.36,0,tavolero,"http://api.openweathermap.org/data/2.5/weather?q=tavolero,it&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1545832,jp,yahata,36.266667,23,23,92,2.24,75,yahata,"http://api.openweathermap.org/data/2.5/weather?q=yahata,jp&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1546943,ke,dundani,-4.0833333,77.34,77.34,73,11.59,12,dundani,"http://api.openweathermap.org/data/2.5/weather?q=dundani,ke&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1549139,ke,port florence,-0.1,64.4,82.4,45,9.17,40,port florence,"http://api.openweathermap.org/data/2.5/weather?q=port florence,ke&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1565833,km,chandra,-12.195,83.73,83.73,100,10.58,68,chandra,"http://api.openweathermap.org/data/2.5/weather?q=chandra,km&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1617815,kr,nuhari,35.528408,26.6,26.6,79,1.12,0,nuhari,"http://api.openweathermap.org/data/2.5/weather?q=nuhari,kr&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1642283,kz,bannovka,53.726110999999996,-4.57,-4.57,52,4.83,0,bannovka,"http://api.openweathermap.org/data/2.5/weather?q=bannovka,kz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1650708,kz,qulsary,46.983333,22.93,22.93,89,7.78,92,qulsary,"http://api.openweathermap.org/data/2.5/weather?q=qulsary,kz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1680803,lk,bowala,7.15,78.91,78.91,100,14.79,36,bowala,"http://api.openweathermap.org/data/2.5/weather?q=bowala,lk&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1680842,lk,buddiyagama,6.1666667,78.91,78.91,100,14.79,36,buddiyagama,"http://api.openweathermap.org/data/2.5/weather?q=buddiyagama,lk&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1705013,lr,willieta,6.55,82.4,82.4,61,3.36,75,willieta,"http://api.openweathermap.org/data/2.5/weather?q=willieta,lr&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1716809,lt,piliuona,54.783333299999995,33.8,33.8,86,5.82,90,piliuona,"http://api.openweathermap.org/data/2.5/weather?q=piliuona,lt&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1717610,lt,puskelniai,54.6166667,33.8,33.8,86,5.82,90,puskelniai,"http://api.openweathermap.org/data/2.5/weather?q=puskelniai,lt&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1758862,ma,tadrart,30.774773,64.4,64.4,48,12.75,0,tadrart,"http://api.openweathermap.org/data/2.5/weather?q=tadrart,ma&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1782382,mg,antanimora,-21.6,69.8,69.8,77,3.36,75,antanimora,"http://api.openweathermap.org/data/2.5/weather?q=antanimora,mg&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1787464,mg,mahavanona,-17.3,72.21,72.21,98,1.86,92,mahavanona,"http://api.openweathermap.org/data/2.5/weather?q=mahavanona,mg&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1790077,mg,sahalava,-21.1833333,64.92,64.92,97,1.52,92,sahalava,"http://api.openweathermap.org/data/2.5/weather?q=sahalava,mg&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1792228,mg,vohibary,-22.4166667,73.96,73.96,73,2.86,32,vohibary,"http://api.openweathermap.org/data/2.5/weather?q=vohibary,mg&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1857153,mx,acanceh,20.816667000000002,82.4,82.4,61,16.11,20,acanceh,"http://api.openweathermap.org/data/2.5/weather?q=acanceh,mx&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1858728,mx,amealco,18.633333,60.8,60.8,48,2.24,75,amealco,"http://api.openweathermap.org/data/2.5/weather?q=amealco,mx&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1871913,mx,el durazno,19.083333,77.38,77.38,38,2.3,8,el durazno,"http://api.openweathermap.org/data/2.5/weather?q=el durazno,mx&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
